name,ratings,date,helpful,comment,developer_comment
김윤희,5,2020-06-17,3,청소잘 해주시네요 특히 시간 약속도 잘 지켜주시고 카드 결제 해놓으면 간편하게 처리 된다는 점이에요 가성비 진짜 최고구요 저희도 맞벌이에 아기 키우는 입장이라 청소에 대해 굉장히 소흘하고 10 일 에 한번 할까 말까인데 .. 여기 이용하고나서부턴 무조건 1 주일에 1 회는 꼭 청소 받고 있습니다,"Miso, Inc.2020년 6월 19일안녕하세요, 김윤희 고객님. 미소를 이용해 주셔서 감사합니다. 맞벌이 하시느라 바쁘실텐데, 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 고객님의 기대에 부응할 수 있도록, 저희는 오늘도 최선을 다하고 있습니다. 편리하고 간편한 서비스 이용을 위해서, 카드 결제 (카드 정보는 나이스페이에 의해서 안전하게 관리됩니다.) 및 가상 계좌 사용 모두 가능 하도록 하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 되세요 ^^"
올리,4,2020-06-17,7,"에어컨 청소 2번 경험 후기 1. 에어컨 청소 = 결과적으로는 만족 (하지만 기사의 재량과 성격문제에 크게영향을받음) 2.비수기는 예약도 쉽고 금액도 괜찬지만 성수기가 되면 기사매칭힘들고 가격도 3만원가량 추가되서 부담됨 3.전부는 아니지만 2번째 기사님은 솔직히 반반인게 결과적으로 에어컨 청소는 되었지만 화장실과 거실은 휴지조각,먼지,물 등으로 더러워지고 특히 물을 여기저기 줄줄흘리고 다녀서 청소하는데 식겁함. (이건 기본적으로 문제가 있는부분들인거같아요. 어느정도는 감안하지만 물로 세척한걸 닦지도 않고 들고다녀서 물도 흘리고다니는건 문제임) 4.에어컨 부품들 물기 안닦고 들고다니셔서 바닥 물천지 되는부분들은 신경도 안쓰시고 조립잘못해놓고선 의뢰인한테 짜증내듯이 하는건 문제인거같아요 이런기사님들은 거금들여서 청소맡겼는데 기분이 안좋아졌습니다..이런 부분들은 기사님 재량인데 모든 기사가 한결같이 고객한테 서비스마인드를 가지고 있지는 않더라구요. 일은 다 잘해서 추천! 비수기가 싸요!","Miso, Inc.2020년 6월 19일안녕하세요, 올리 고객님. 미소를 이용해 주셔서 감사합니다. 모든 고객님께서 저희 서비스에 만족하실 수 있도록 파트너님들도, 서비스 품질도 항상 심혈을 기울이고 있습니다. 다만, 사람과 사람을 연결하는 서비스인만큼, 저희 노력에도 불구하고 간혹 문제가 발생하는 경우도 존재합니다. 에어컨 청소는 잘 되었으나, 뒷처리 등이 깔끔하지 못 해 고객님 기분이 상하게 되어 진심으로 죄송합니다. 고객님의 불편에 다시 한 번 사과드리며, 더욱 개선된 서비스로 고객님을 찾아뵐 수 있도록 노력하겠습니다. 피드백 감사합니다."
박홍범,5,2020-06-17,2,미소 청소 잘 받아보았네요 !! 스케줄에 맞춰서 잘와주시고 알아서 마무리 짓고 가주셔서 ㅎㅎ 100 % 신뢰하게 되었습니다 . 앞으로 한달에 2 ~ 3 번 은 정기적으로 이용해볼 생각이고요 .부모님이 좀 편찮으셔서 여기 통해서 한번 부모님집도 청소 의뢰 드릴려고요 ! 무튼 여기 이앱 통해서 결제나 예약 등등 전반적인걸 하다보니까 . 수고로움도 덜하고 실제 생활에 있어서 도움을 상당히 받았습니다 !,"Miso, Inc.2020년 6월 19일안녕하세요, 박홍범 고객님. 100% 신뢰할 수 있는 서비스, 미소입니다. :) 저희 미소를 이용해 주셔서 감사합니다. 미소는 시간제 서비스로, 시간 관리와 고객 만족을 위해서 서비스 품질도, 클리너님들도 항상 최선을 다해 노력하고 있습니다. 부모님댁에도 미소를 신청하실 고객님에게 부끄럽지 않도록 저희는 오늘도 최선을 다하고 있습니다. 미소는 고객님의 일상에 필요한 모든 것을 쉽고 간편하게 만들어나가기 위해 최선을 다하고 있습니다. 청소가 필요 하실 때에는 미소를 기억해주세요. :) 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. ^_^ 감사합니다 :)"
Jinguk Do,1,2020-06-10,18,"벽걸이에어컨 조금전 청소받았는데, 주변가구 보양을 위한 비닐과 걸레도 하나 안 가져오고, 약제 뿌린후 세정 작업까지 20분하고 끝이네요. 방바닥과 거실에 물이 흥건한데 걸레를 안 가져왔으니 당연히 그냥 가셨네요. 제가 닦았습니다. 문제는 가고나서 벽지를 따라 물이 흘러 내리고 있네요. 벽지에 자국이 남을까 걱정됩니다. 6만원이 상당히 아깝게 느껴지는 서비스였습니다. 미소를 통해 랜덤하게 기사를 배정 받는거 보다, 비용을 더 주더라도 미소 통하지 않고 검증된 업체에 서비스 받는게 좋겠습니다. 참, 완전분해 청소가 아니였습니다. 저는 송풍팬까지 분해하는지 알았는데 붙여진 상태로 청소입니다.","Miso, Inc.2020년 6월 17일안녕하세요, Jinguk Do 고객님. 미소 서비스 이용에 불편을 드려서 죄송합니다. 모든 고객님께서 저희 서비스에 만족하실 수 있도록  항상 심혈을 기울이고 있습니다. 다만, 사람과 사람을 연결하는 서비스인만큼, 저희 노력에도 불구하고 간혹 문제가 발생하는 경우도 존재합니다. 에어컨 청소를 받으셨는데 뒷정리를 직접하시고, 물이 흘러내리는 불편을 겪으셨다니 마음이 너무나 무겁습니다. 혹시 지금도 물이 흐르고 있을까요 ? 고객님께서 겪으신 불편함을 직접 도와드리고 싶으나 스토어 댓글로는 고객님 정보 확인이 안 됩니다. 번거로우시겠지만 미소 실시간 문의로  연락 주시면 신속하게 확인하겠습니다. 피드백 감사합니다."
유혜인,5,2020-06-17,10,생각보다 저렴하고 유용했어요~! 제 상상 이상으로 진행을 잘해주셔서 뭐 더 건들것도 없고 집분위기가 확 달라져서 너무 좋습니다. 추가금없는것도 너무 좋고 해주시는 분도 너무 친절하셔서 너무감사했고 혼자사는사람이 가끔 이용하기에 최고인것같습니다.,"Miso, Inc.2020년 6월 19일안녕하세요, 유혜인 고객님. 유용한 서비스, 미소 입니다. :)  저희 미소 서비스를 이용해 주셔서 감사합니다. 미소는 합리적인 가격으로 양질의 서비스를 제공하여, 우리 모두의 일상이 행복해 지도록 노력하고 있습니다. 앞으로도 번거로운 일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. :) 감사합니다 ^_^"
윤상혁,1,2020-06-02,20,쓰레기같은 앱이에요. 예약 변경 취소가 실시간 채팅으로밖에 안되는데 답변 최소 30분 이상 기다리셔야됩니다. 30분만에 뭘도와드릴까요 하나듣고 다음답변은 또 언제올지 모르겠네요. 예약변경하려다가 빡쳐서 취소했구요 청소해주시는분들이나 상담원들이 잘못했다기보다는 앱 시스템 자체가 쓰레기인거 같아요.,"Miso, Inc.2020년 6월 3일안녕하세요, 윤상혁 고객님. 미소 서비스 이용에 불편을 드려서 진심으로 죄송합니다. 바쁘신 고객님께서 시간을 내어 저희에게 문의 주셨을텐데, 성수기로 인해 실시간 문의도 지연이 되어 더욱 답답하셨을 고객님을 생각 하니 마음이 무겁습니다.  다시 한 번 사과드리며, 더욱 개선된 모습 보여드릴 수 있도록 오늘도 최선을 다하겠습니다.  추후에 청소 서비스가 다시 필요하시면 찾아 주세요. 피드백 감사합니다."
김세라,5,2020-06-17,0,청소 업체 미소 이용하고나서 부터 제 라이프 스타일이 완전 바뀌었습니다 . 매번 주말마다 청소하느라 시간 다보내고 몸도 피로하고 . 청소는 청소대로 깔끔하지 않아서 특단에 조치로 미소 이용해보게 된건데요 . 첫 이용부터 마음에 들어서 현재 2 달 째 꾸준히 이용중입니다 . 이모님 청소 퀄리는 말할필요가 없고요 ! 마무리까지 완벽 하게 해주시다보니까 . 자연스레 이걸 주변 지인 들한테 추천 하게 되더라고요,"Miso, Inc.2020년 6월 19일안녕하세요, 김세라 고객님. 퇴근하고 깨끗한 집에 들어서면 기분이 상쾌하지요~  바쁘실텐데, 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 고객님의 기대에 부응할 수 있도록, 저희는 오늘도 최선을 다하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다 ^_^"
조현수,5,2020-06-12,5,청소 업체중에서 미소가 가장 깔끔하고 좋네요 . 이모님이 스케줄 에 맞춰서 딱 와주시고 마무리 까지 엄청 깔끔 하게 잘 해주셨네요 요번주 토요일에 부모님이 저희집에 내려오시는데 저희 둘다 맞벌이이고 . 퇴근을 저녁 9~10 시에 하니까 청소 할 겨를 이 없었거든요 . 제가 미소 신청하고선 잠깐 집에 있다가 청소 요청 드리고 잠깐 볼일 보고 다시 시간 다될쯤 집에 들어가니까 집안이 완전 달라졌더라고요 ㅎ 깔끔하게 청소 서비스 이용받고 싶다면 미소 추천 드립니다,"Miso, Inc.2020년 6월 16일안녕하세요, 조현수 고객님. 가장 깔끔한 서비스, 미소 입니다. :) 미소를 이용해 주셔서 감사합니다. 깨끗하게 청소된 집에 돌아 오면 편안하지요 ^^ 맞벌이로 바쁘실 고객님께 조금이나마 여유를 드릴 수 있어서, 미소는 오늘도 보람을 느끼고 있습니다. 저희 미소 생활청소는 시간제 서비스로, 효율적인 청소 시간 관리와 고객 만족을 위해서 서비스 품질도, 클리너님들도 항상 최선을 다해 노력하고 있습니다. 오늘 받은 고객님의 칭찬에 만족하지 않고 앞으로도 최선을 다하는 미소가 되도록 하겠습니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요 . 감사합니다 :)"
김미소,5,2020-06-18,0,청소 1 위 업체 인정합니다 저번주 첫 이용해봤고요 이모님이 청소 스킬이나 마무리 부분에 있어서 완전 만족 스러웠습니다 . 개인적으로 자취생이나 맞벌이나 청소 하기 좀 불편하신분들이 이용하시기에는 딱 안성맞춤 서비스라고 생각 되네요 카드 결제 등록 한번 해놓으니까 결제 부분도 편하고요 . 특히 스케줄 맞추는게 제일 편합니다,"Miso, Inc.2020년 6월 22일안녕하세요, 김미소 고객님. 청소 1위, 미소 입니다. :) 저희 미소 서비스를 이용해 주셔서 감사합니다. 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다.  편리하고 간편한 서비스 이용을 위해서, 카드 결제 (카드 정보는 나이스페이에 의해서 안전하게 관리됩니다.) 및 가상 계좌 사용 모두 가능 하도록 하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 되세요 ^_^"
이이기행,5,2020-06-15,14,결제 금액도 저렴하고 상당히 청소를 잘 해주시다보니까 저도 주변에 입소문 내게 된 앱이에요 . 미소 쓰고선 청소로 부터 해방 되었고요 주말에 시간 많이 생겼습니다 . 아무래도 맞벌이에다가 아이가 있다보니까 . 집안이 항상 더럽거나 정리가 안되어있었거든요 무튼 이용하고선 집안이 180 도로 달라지고 금액도 저렴하니까 금액적으로도 부담이 덜가더라고요,"Miso, Inc.2020년 6월 16일안녕하세요, 이이기행 고객님. 청소로부터의 해방, 미소 입니다. :) 저희 미소 서비스를 이용해 주셔서 감사합니다. 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다 :)"
